Book ID,Title,Author(s),Category,Price (ETB),Cover Image,Language,Publisher,Format,Page Count,Publication Year,ISBN,Original Filename,File Path,File Size
BK-00015,Fundamental of corporate finance 10e A & F 0029,Unknown,Accounting & Finance Corner,,BK-00015.webp,en,,PDF,824.0,2016.0,,Fundamental_of_corporate_finance_10e-A_&_F_0029.pdf,Fundamental_of_corporate_finance_10e-A_&_F_0029.pdf,10.78 MB
BK-00016,"Accounting, 23rd ed.",Carl S. Warren,Accounting & Finance Corner,,BK-00016.webp,en,,PDF,1344.0,2008.0,,"Warren,_accounting__23rd_edition-A_&_F_0052.pdf","Warren,_accounting__23rd_edition-A_&_F_0052.pdf",25.78 MB
BK-00017,Financial accounting : IFRS,Unknown,Accounting & Finance Corner,,BK-00017.webp,en,,PDF,931.0,2019.0,,"Financial_accounting_ifrs,_3rd_edition._by_kieso-A_&_F_0023.pdf","Financial_accounting_ifrs,_3rd_edition._by_kieso-A_&_F_0023.pdf",21.28 MB
BK-00018,Financial Institutions and Markets: 2007–2008—The Year of Crisis,Robert R. Bliss and George G. Kaufman (Editors),Accounting & Finance Corner,,BK-00018.webp,en,,PDF,226.0,,,Financial_institution_and_markets-A_&_F_0024.pdf,Financial_institution_and_markets-A_&_F_0024.pdf,1.35 MB
BK-00019,9780470626733.pdf,R. Carter Hill,Accounting & Finance Corner,,BK-00019.webp,en,,PDF,790.0,2011.0,,Principles_of_econometrics_4th_edition-A_&_F_0046.pdf,Principles_of_econometrics_4th_edition-A_&_F_0046.pdf,10.23 MB
BK-00020,Public finance and taxation A & F 0047,Andy,Accounting & Finance Corner,,BK-00020.webp,en,,PDF,179.0,2017.0,,Public_finance_and_taxation-A_&_F_0047.pdf,Public_finance_and_taxation-A_&_F_0047.pdf,0.98 MB
BK-00021,Using stata for principles of econometrics A & F 0051,Unknown,Accounting & Finance Corner,,BK-00021.webp,en,,PDF,625.0,2012.0,,Using_stata_for_principles_of_econometrics-A_&_F_0051.pdf,Using_stata_for_principles_of_econometrics-A_&_F_0051.pdf,8.05 MB
BK-00022,9781118443965,Unknown,Accounting & Finance Corner,,BK-00022.webp,en,,PDF,1388.0,2014.0,,Intermediate_acc_ifrs_2nd_edition-A_&_F_0037.pdf,Intermediate_acc_ifrs_2nd_edition-A_&_F_0037.pdf,20.91 MB
BK-00023,Principles of Accounting,"Belverd E. Needles, Marian Powers, Susan V. Crosson",Accounting & Finance Corner,,BK-00023.webp,en,,PDF,1331.0,,,Principles_of_accounting_belverd_e_needles_marian_powers_susan_v-A_&_F_0045.pdf,Principles_of_accounting_belverd_e_needles_marian_powers_susan_v-A_&_F_0045.pdf,24.21 MB
BK-00024,Fundamentals of Multinational Finance 3e (2009).pdf,mjochec,Accounting & Finance Corner,,BK-00024.webp,en,,PDF,353.0,2010.0,,Fundamentals_of_multinational_finance__3rd_edition-A_&_F_0030.pdf,Fundamentals_of_multinational_finance__3rd_edition-A_&_F_0030.pdf,141.39 MB
BK-00025,Schaum financial management A & F 0049,Unknown,Accounting & Finance Corner,,BK-00025.webp,en,,PDF,560.0,2008.0,,Schaum_financial_management-A_&_F_0049.pdf,Schaum_financial_management-A_&_F_0049.pdf,19.89 MB
BK-00026,Essentials of investments bodie kane and marcus A & F 0021,Unknown,Accounting & Finance Corner,,BK-00026.webp,en,,PDF,775.0,2003.0,,Essentials_of_investments_bodie_kane_and_marcus-A_&_F_0021.pdf,Essentials_of_investments_bodie_kane_and_marcus-A_&_F_0021.pdf,18.36 MB
BK-00027,9781118742976,Unknown,Accounting & Finance Corner,,BK-00027.webp,en,,PDF,1556.0,2016.0,,Intermediateaccounting_16th_ed_kieso20185296-A_&_F_0038.pdf,Intermediateaccounting_16th_ed_kieso20185296-A_&_F_0038.pdf,10.87 MB
BK-00028,Wiley Interpretation and Application of IFRS Standards,Unknown,Accounting & Finance Corner,,BK-00028.webp,en,,PDF,998.0,2018.0,,Wiley_interpretation_and_application_of_ifrs_standards-A_&_F_0053.pdf,Wiley_interpretation_and_application_of_ifrs_standards-A_&_F_0053.pdf,36.18 MB
BK-00029,CONSIGNMENT ACCOUNTS volume 1 A & F 0007,Unknown,Accounting & Finance Corner,,BK-00029.webp,en,,PDF,162.0,,,CONSIGNMENT_ACCOUNTS_volume_1-A_&_F_0007.pdf,CONSIGNMENT_ACCOUNTS_volume_1-A_&_F_0007.pdf,40.75 MB
BK-00030,George e  rejda principles of risk management and insurance A & F 0031,Unknown,Accounting & Finance Corner,,BK-00030.webp,en,,PDF,766.0,2010.0,,George_e._rejda_principles_of_risk_management_and_insurance-A_&_F_0031.pdf,George_e._rejda_principles_of_risk_management_and_insurance-A_&_F_0031.pdf,13.71 MB
BK-00031,Corporate finance core principles and ap A & F 0016,Unknown,Accounting & Finance Corner,,BK-00031.webp,en,,PDF,767.0,2011.0,,Corporate_finance_core_principles_and_ap-A_&_F_0016.pdf,Corporate_finance_core_principles_and_ap-A_&_F_0016.pdf,5.48 MB
BK-00032,Illustrative ifrs financial statements 2024   pwc A & F 0036,Unknown,Accounting & Finance Corner,,BK-00032.webp,en,,PDF,233.0,2024.0,,Illustrative_ifrs_financial_statements_2024___pwc-A_&_F_0036.pdf,Illustrative_ifrs_financial_statements_2024___pwc-A_&_F_0036.pdf,3.57 MB
BK-00033,Illustrative ifrs financial statements 2024 dolittle A & F 0033,Katerina Chvalovska,Accounting & Finance Corner,,BK-00033.webp,en,,PDF,184.0,2025.0,,Illustrative_ifrs_financial_statements_2024_dolittle-A_&_F_0033.pdf,Illustrative_ifrs_financial_statements_2024_dolittle-A_&_F_0033.pdf,5.01 MB
BK-00034,Performing Data Analysis Using IBM SPSS,Lawrence S. Meyers,Accounting & Finance Corner,,BK-00034.webp,en,,PDF,734.0,2013.0,,"Lawrence_s_meyers,_glenn_c_gamst,_a_j_guarino_performing_data_analysis-A_&_F_0041.pdf","Lawrence_s_meyers,_glenn_c_gamst,_a_j_guarino_performing_data_analysis-A_&_F_0041.pdf",50.43 MB
BK-00035,ACCA AFM S24 Notes,Unknown,Accounting & Finance Corner,,BK-00035.webp,en,,PDF,154.0,2024.0,,Acca_advanced_financial_management_(afm)_s24_notes-A_&_F_0003.pdf,Acca_advanced_financial_management_(afm)_s24_notes-A_&_F_0003.pdf,1.94 MB
BK-00036,A Handbook of Statistical Analyses using SPSS,"Sabine Landau, Brian S. Everitt",Accounting & Finance Corner,,BK-00036.webp,en,,PDF,339.0,2004.0,,A_handbook_of_statistical_analyses_using_spss-A_&_F_0002.pdf,A_handbook_of_statistical_analyses_using_spss-A_&_F_0002.pdf,4.35 MB
BK-00037,Accounting information systems james a hall 7th edition 2010 A & F 0005,Unknown,Accounting & Finance Corner,,BK-00037.webp,en,,PDF,830.0,2011.0,,Accounting_information_systems_james_a_hall_7th_edition_2010-A_&_F_0005.pdf,Accounting_information_systems_james_a_hall_7th_edition_2010-A_&_F_0005.pdf,7.40 MB
BK-00038,9780132680684.pdf,Unknown,Accounting & Finance Corner,,BK-00038.webp,en,,PDF,889.0,2011.0,,Auditing_by_arens-A_&_F_0012.pdf,Auditing_by_arens-A_&_F_0012.pdf,14.13 MB
BK-00039,"Gujarati, basic econometrics A & F 0032",Unknown,Accounting & Finance Corner,,BK-00039.webp,en,,PDF,1003.0,2005.0,,"Gujarati,_basic_econometrics-A_&_F_0032.pdf","Gujarati,_basic_econometrics-A_&_F_0032.pdf",5.60 MB
BK-00040,Accounting for Governmental and Nonprofit Entities,Earl R Wilson,Accounting & Finance Corner,,BK-00040.webp,en,,PDF,798.0,2010.0,,Accounting_for_governmental_and_nonprofit_entities-A_&_F_0004.pdf,Accounting_for_governmental_and_nonprofit_entities-A_&_F_0004.pdf,13.30 MB
BK-00041,"Excel for accountants tips, tricks & techniques conrad carlberg A & F 0022",Unknown,Accounting & Finance Corner,,BK-00041.webp,en,,PDF,289.0,,,"Excel_for_accountants_tips,_tricks_&_techniques_conrad_carlberg-A_&_F_0022.pdf","Excel_for_accountants_tips,_tricks_&_techniques_conrad_carlberg-A_&_F_0022.pdf",7.23 MB
BK-00042,"1 weygandt j,kimmel p kieso d financial accounting ifrs A & F 0001",Unknown,Accounting & Finance Corner,,BK-00042.webp,en,,PDF,886.0,2012.0,,"1_weygandt_j,kimmel_p_kieso_d_financial_accounting_ifrs-A_&_F_0001.pdf","1_weygandt_j,kimmel_p_kieso_d_financial_accounting_ifrs-A_&_F_0001.pdf",164.48 MB
BK-00043,"21000962-3_ICWAI_Adavanced Financial Accounting (AFA)_Text.pdf, page 1-592 @ Normalize ( Initial Pages Advanced Fin. accounting & Reporting.indd )",contentpc-15,Accounting & Finance Corner,,BK-00043.webp,en,,PDF,592.0,2010.0,,Advanced_financial_accounting_and_report-A_&_F_0009.pdf,Advanced_financial_accounting_and_report-A_&_F_0009.pdf,1.89 MB
BK-00044,Microsoft Word - ACCA P4 Class Notes June 2013 version 6 FINAL at 21 Dec 2012.docx,Debbie,Accounting & Finance Corner,,BK-00044.webp,en,,PDF,350.0,2012.0,,Advanced_financial_management_class_note-A_&_F_0010.pdf,Advanced_financial_management_class_note-A_&_F_0010.pdf,1.70 MB
BK-00045,Alpha teach yourself grammar and style A & F 0011,Unknown,Accounting & Finance Corner,,BK-00045.webp,en,,PDF,450.0,2009.0,,Alpha_teach_yourself_grammar_and_style-A_&_F_0011.pdf,Alpha_teach_yourself_grammar_and_style-A_&_F_0011.pdf,15.22 MB
BK-00046,Business statistics complete business st A & F 0014,Unknown,Accounting & Finance Corner,,BK-00046.webp,en,,PDF,888.0,,,Business_statistics_complete_business_st-A_&_F_0014.pdf,Business_statistics_complete_business_st-A_&_F_0014.pdf,9.51 MB
BK-00047,Corporate Finance,Stephen Ross,Accounting & Finance Corner,,BK-00047.webp,en,,PDF,1006.0,2008.0,,Corporate_finance_ross_westerfield_jaffe_8th_edithion-A_&_F_0017.pdf,Corporate_finance_ross_westerfield_jaffe_8th_edithion-A_&_F_0017.pdf,29.37 MB
BK-00048,Financial statement analysis   robert j resutek A & F 0028,Unknown,Accounting & Finance Corner,,BK-00048.webp,en,,PDF,545.0,2023.0,,Financial_statement_analysis___robert_j_resutek-A_&_F_0028.pdf,Financial_statement_analysis___robert_j_resutek-A_&_F_0028.pdf,66.27 MB
BK-00049,"Research Design: Qualitative, Quantitative, and Mixed Methods Approaches",John W. Creswell,Accounting & Finance Corner,,BK-00049.webp,en,,PDF,342.0,2016.0,,Creswell_research_methodology-A_&_F_0018.pdf,Creswell_research_methodology-A_&_F_0018.pdf,3.67 MB
BK-00050,"Fundamentals of Information Systems , 6th ed.",Ralph Stair,Accounting & Finance Corner,,BK-00050.webp,en,,PDF,508.0,2010.0,,Ct_fundamentals_of_information_systems_6th_edition-A_&_F_0019.pdf,Ct_fundamentals_of_information_systems_6th_edition-A_&_F_0019.pdf,19.33 MB
BK-00051,Financial Markets and Institutions (2-downloads),Frederic S. Mishkin,Accounting & Finance Corner,,BK-00051.webp,en,,PDF,709.0,2011.0,,Financial_markets_and_institutions_frederic_s_mishkin_stanley_g-A_&_F_0027.pdf,Financial_markets_and_institutions_frederic_s_mishkin_stanley_g-A_&_F_0027.pdf,8.71 MB
BK-00052,"Fundamentals of Aerodynamics, 6th Edition",John David Anderson,Aerospace & Aeronautical Engineering Corner,,BK-00052.webp,en,,PDF,1154.0,2018.0,,Fundamentals_of_aerodynamics_6_edition-A_&_A_0091.pdf,Fundamentals_of_aerodynamics_6_edition-A_&_A_0091.pdf,15.44 MB
BK-00053,"Digital Avionics Handbook, Third Edition","Spitzer, Cary R.",Aerospace & Aeronautical Engineering Corner,,BK-00053.webp,en,,PDF,817.0,2014.0,,Digital_Avionics_Handbook-A_&_A_0055.pdf,Digital_Avionics_Handbook-A_&_A_0055.pdf,24.91 MB
BK-00054,"Aircraft Structures for Engineering Students, Fourth Edition",T.H.G. Megson,Aerospace & Aeronautical Engineering Corner,,BK-00054.webp,en,,PDF,1179.0,2008.0,,Aircraft_Structures_By_T.h.g._Megson_(4thedition)-A_&_A_0003.pdf,Aircraft_Structures_By_T.h.g._Megson_(4thedition)-A_&_A_0003.pdf,8.75 MB
BK-00055,Modeling and Dynamic Behaviour of Hydropower Plants,"Kishor, Nand,Fraile-Ardunuy, Jesus",Aerospace & Aeronautical Engineering Corner,,BK-00055.webp,en,,PDF,280.0,2017.0,,Modeling_And_Dynamic_Behaviour_Of_Hydropower_Plants-A_&_A_0124.pdf,Modeling_And_Dynamic_Behaviour_Of_Hydropower_Plants-A_&_A_0124.pdf,4.23 MB
BK-00056,Ros Navigation In 5 Days A & A 0137,Unknown,Aerospace & Aeronautical Engineering Corner,,BK-00056.webp,en,,PDF,166.0,,,Ros_Navigation_In_5_Days-A_&_A_0137.pdf,Ros_Navigation_In_5_Days-A_&_A_0137.pdf,2.21 MB
BK-00057,Introduction to Flight ISE,John Anderson;Mary Bowden;,Aerospace & Aeronautical Engineering Corner,,BK-00057.webp,en,,PDF,961.0,2021.0,,"Introduction_To_Flight,_9e_Ise_(john_D._Anderson_Jr.,_Mary_L._Bowden)-A_&_A_0108.pdf","Introduction_To_Flight,_9e_Ise_(john_D._Anderson_Jr.,_Mary_L._Bowden)-A_&_A_0108.pdf",75.82 MB
BK-00058,Dynamic Positioning for Engineers,Surender Kumar,Aerospace & Aeronautical Engineering Corner,,BK-00058.webp,en,,PDF,195.0,2020.0,,Dynamic_Positioning_For_Engineers-A_&_A_0057.pdf,Dynamic_Positioning_For_Engineers-A_&_A_0057.pdf,2.50 MB
BK-00059,0071643516.pdf,Unknown,Aerospace & Aeronautical Engineering Corner,,BK-00059.webp,en,,PDF,357.0,2009.0,,"Build_Your_Own_Electric_Vehicle_(leitman,_Seth)-A_&_A_0046.pdf","Build_Your_Own_Electric_Vehicle_(leitman,_Seth)-A_&_A_0046.pdf",17.57 MB
BK-00060,Modern Missile Guidance,Rafael Yanushevsky,Aerospace & Aeronautical Engineering Corner,,BK-00060.webp,en,,PDF,343.0,2018.0,,Modern_Missile_Guidance_(rafael_Yanushevsky)-A_&_A_0128.pdf,Modern_Missile_Guidance_(rafael_Yanushevsky)-A_&_A_0128.pdf,9.67 MB
BK-00061,Introduction to Flight Testing,"Gregory, James W.; Liu, Tianshu;",Aerospace & Aeronautical Engineering Corner,,BK-00061.webp,en,,PDF,355.0,2021.0,,"Introduction_To_Flight_Testing_(aerospace_Series)_(gregory,_James_W.,_Liu,_Tianshu)-A_&_A_0106.pdf","Introduction_To_Flight_Testing_(aerospace_Series)_(gregory,_James_W.,_Liu,_Tianshu)-A_&_A_0106.pdf",11.11 MB
BK-00062,"Turbulence An Introduction For Scientists And Engineers (p a davidson, Peter Alan Davidson, Davidson Etc ) A & A 0148",Unknown,Aerospace & Aeronautical Engineering Corner,,BK-00062.webp,en,,PDF,647.0,2023.0,,"Turbulence_An_Introduction_For_Scientists_And_Engineers_(p.a.davidson,_Peter_Alan_Davidson,_Davidson_Etc.)-A_&_A_0148.pdf","Turbulence_An_Introduction_For_Scientists_And_Engineers_(p.a.davidson,_Peter_Alan_Davidson,_Davidson_Etc.)-A_&_A_0148.pdf",99.48 MB
BK-00063,Optimal Control And Estimation (robert F  Stengel) A & A 0132,Unknown,Aerospace & Aeronautical Engineering Corner,,BK-00063.webp,en,,PDF,670.0,2023.0,,Optimal_Control_And_Estimation_(robert_F._Stengel)-A_&_A_0132.pdf,Optimal_Control_And_Estimation_(robert_F._Stengel)-A_&_A_0132.pdf,37.60 MB
BK-00064,Airplane Performance Stability and Control,Robert E. Hage Perkins Courtland D.,Aerospace & Aeronautical Engineering Corner,,BK-00064.webp,en,,PDF,510.0,2024.0,,Airplane_Performance_Stability_And_Control_(robert_E._Hage_Perkins_Courtland_D.)-A_&_A_0038.pdf,Airplane_Performance_Stability_And_Control_(robert_E._Hage_Perkins_Courtland_D.)-A_&_A_0038.pdf,19.60 MB
BK-00065,Airplane Design Part Ipreliminary Sizing Of Airplanes (jan Roskam) A & A 0035,Unknown,Aerospace & Aeronautical Engineering Corner,,BK-00065.webp,en,,PDF,232.0,2019.0,,Airplane_Design_Part_Ipreliminary_Sizing_Of_Airplanes_(jan_Roskam)-A_&_A_0035.pdf,Airplane_Design_Part_Ipreliminary_Sizing_Of_Airplanes_(jan_Roskam)-A_&_A_0035.pdf,12.72 MB
BK-00066,The aviation maintenance technician handbook airframe volume 1 by A & A 0154,Unknown,Aerospace & Aeronautical Engineering Corner,,BK-00066.webp,en,,PDF,588.0,2011.0,,The_aviation_maintenance_technician_handbook_airframe_volume_1_by-A_&_A_0154.pdf,The_aviation_maintenance_technician_handbook_airframe_volume_1_by-A_&_A_0154.pdf,78.45 MB
BK-00067,job,andrea,Aerospace & Aeronautical Engineering Corner,,BK-00067.webp,en,,PDF,177.0,2000.0,,An_Album_Of_Fluid_Motion_(milton_Van_Dyke)-A_&_A_0040.pdf,An_Album_Of_Fluid_Motion_(milton_Van_Dyke)-A_&_A_0040.pdf,43.39 MB
BK-00068,ISE EBook Online Access for Modern Compressible Flow: With Historical Perspective,John Anderson;,Aerospace & Aeronautical Engineering Corner,,BK-00068.webp,en,,PDF,793.0,2020.0,,Modern_Compressible_Flow_With_Historical_Perspective_(john_D._Anderson)-A_&_A_0126.pdf,Modern_Compressible_Flow_With_Historical_Perspective_(john_D._Anderson)-A_&_A_0126.pdf,42.48 MB
BK-00069,ISE EBook Online Access for Viscous Fluid Flow,WHITE;,Aerospace & Aeronautical Engineering Corner,,BK-00069.webp,en,,PDF,893.0,2021.0,,Viscous_Fluid_Flow_(frank_M._White)-A_&_A_0163.pdf,Viscous_Fluid_Flow_(frank_M._White)-A_&_A_0163.pdf,39.27 MB
BK-00070,Mark Drela,Flight Vehicle Aerodynamics,Aerospace & Aeronautical Engineering Corner,,BK-00070.webp,en,,PDF,304.0,2014.0,,Flight_Vehicle_Aerodynamics_(mark_Drela)-A_&_A_0080.pdf,Flight_Vehicle_Aerodynamics_(mark_Drela)-A_&_A_0080.pdf,9.65 MB
BK-00071,"Introductory Fluid Mechanics    Joseph Katz    Cambridge University Press, New York, 2010 A & A 0114",tech,Aerospace & Aeronautical Engineering Corner,,BK-00071.webp,en,,PDF,455.0,2023.0,,"Introductory_Fluid_Mechanics____Joseph_Katz____Cambridge_University_Press,_New_York,_2010-A_&_A_0114.pdf","Introductory_Fluid_Mechanics____Joseph_Katz____Cambridge_University_Press,_New_York,_2010-A_&_A_0114.pdf",9.50 MB
BK-00072,Airworthiness an introduction to aircraft certification a guide A & A 0039,Unknown,Aerospace & Aeronautical Engineering Corner,,BK-00072.webp,en,,PDF,262.0,2007.0,,Airworthiness_an_introduction_to_aircraft_certification_a_guide-A_&_A_0039.pdf,Airworthiness_an_introduction_to_aircraft_certification_a_guide-A_&_A_0039.pdf,1.71 MB
BK-00073,Finite Element Analysis,S.S. Bhavikatti,Aerospace & Aeronautical Engineering Corner,,BK-00073.webp,en,,PDF,347.0,2007.0,,Finite_element_analysis_by_s_s_bhavikatti-A_&_A_0078.pdf,Finite_element_analysis_by_s_s_bhavikatti-A_&_A_0078.pdf,2.81 MB
BK-00074,The Avionics Handbook A & A 0149,Unknown,Aerospace & Aeronautical Engineering Corner,,BK-00074.webp,en,,PDF,573.0,2009.0,,The_Avionics_Handbook-A_&_A_0149.pdf,The_Avionics_Handbook-A_&_A_0149.pdf,35.23 MB
BK-00075,"The Dynamics And Thermodynamics Of Compressible Fluid Flow, Vol  2 (ascher H  Shapiro) A & A 0150",Unknown,Aerospace & Aeronautical Engineering Corner,,BK-00075.webp,en,,PDF,277.0,1999.0,,"The_Dynamics_And_Thermodynamics_Of_Compressible_Fluid_Flow,_Vol._2_(ascher_H._Shapiro)-A_&_A_0150.pdf","The_Dynamics_And_Thermodynamics_Of_Compressible_Fluid_Flow,_Vol._2_(ascher_H._Shapiro)-A_&_A_0150.pdf",23.58 MB
BK-00076,Aviation Maintenance Technician Handbook,United States.,Aerospace & Aeronautical Engineering Corner,,BK-00076.webp,en,,PDF,521.0,2014.0,,Aviation_maintenance_technician_handbook_powerplant_volume_1_&_2-A_&_A_0044.pdf,Aviation_maintenance_technician_handbook_powerplant_volume_1_&_2-A_&_A_0044.pdf,50.18 MB
BK-00077,Aircraft Propulsion,Saeed Farokhi,Aerospace & Aeronautical Engineering Corner,,BK-00077.webp,en,,PDF,1043.0,2021.0,,Aircraft_Propulsion_(saeed_Farokhi)-A_&_A_0022.pdf,Aircraft_Propulsion_(saeed_Farokhi)-A_&_A_0022.pdf,54.05 MB
BK-00078,"Gas Dynamics, Vol 1 (maurice J  Zucrow Joe D  Hoffman) A & A 0093",Unknown,Aerospace & Aeronautical Engineering Corner,,BK-00078.webp,en,,PDF,787.0,2021.0,,"Gas_Dynamics,_Vol_1_(maurice_J._Zucrow_Joe_D._Hoffman)-A_&_A_0093.pdf","Gas_Dynamics,_Vol_1_(maurice_J._Zucrow_Joe_D._Hoffman)-A_&_A_0093.pdf",52.14 MB
BK-00079,Hydrodynamics (sir Horace Lamb) A & A 0100,Unknown,Aerospace & Aeronautical Engineering Corner,,BK-00079.webp,en,,PDF,751.0,2023.0,,Hydrodynamics_(sir_Horace_Lamb)-A_&_A_0100.pdf,Hydrodynamics_(sir_Horace_Lamb)-A_&_A_0100.pdf,23.87 MB
BK-00080,9819997097,Unknown,Aerospace & Aeronautical Engineering Corner,,BK-00080.webp,en,,PDF,412.0,2025.0,,"Wind_And_Solar_Energy_Systems_(kumari_Namrata,_R._P._Saini,_D._P._Kothari)-A_&_A_0166.pdf","Wind_And_Solar_Energy_Systems_(kumari_Namrata,_R._P._Saini,_D._P._Kothari)-A_&_A_0166.pdf",44.34 MB
BK-00081,An introduction to theoretical and computational aerodynamics ,"Moran, Jack",Aerospace & Aeronautical Engineering Corner,,BK-00081.webp,en,,PDF,484.0,2023.0,,"An_Introduction_To_Theoretical_And_Computational_Aerodynamics_(moran,_Jack)-A_&_A_0041.pdf","An_Introduction_To_Theoretical_And_Computational_Aerodynamics_(moran,_Jack)-A_&_A_0041.pdf",19.70 MB
BK-00082,"Boundary layer Theory (hermann Schlichting, Klaus Gersten) A & A 0045",Unknown,Aerospace & Aeronautical Engineering Corner,,BK-00082.webp,en,,PDF,814.0,2016.0,,"Boundary_layer_Theory_(hermann_Schlichting,_Klaus_Gersten)-A_&_A_0045.pdf","Boundary_layer_Theory_(hermann_Schlichting,_Klaus_Gersten)-A_&_A_0045.pdf",20.47 MB
BK-00083,"Aerodynamics For Engineering Students (e l  Houghton , P w  Carpenter) A & A 0010",Unknown,Aerospace & Aeronautical Engineering Corner,,BK-00083.webp,en,,PDF,545.0,2017.0,,"Aerodynamics_For_Engineering_Students_(e.l._Houghton_,_P.w._Carpenter)-A_&_A_0010.pdf","Aerodynamics_For_Engineering_Students_(e.l._Houghton_,_P.w._Carpenter)-A_&_A_0010.pdf",41.90 MB
BK-00084,"Foundations Of Aerodynamics Bases Of Aerodynamic Design (5th Ed ) (arnold M  Kuethe, Chuen yen Chow) A & A 0087",Unknown,Aerospace & Aeronautical Engineering Corner,,BK-00084.webp,en,,PDF,586.0,,,"Foundations_Of_Aerodynamics_Bases_Of_Aerodynamic_Design_(5th_Ed.)_(arnold_M._Kuethe,_Chuen_yen_Chow)-A_&_A_0087.pdf","Foundations_Of_Aerodynamics_Bases_Of_Aerodynamic_Design_(5th_Ed.)_(arnold_M._Kuethe,_Chuen_yen_Chow)-A_&_A_0087.pdf",12.50 MB
